Campaign_Name,Platform,Impressions,Clicks,Spend,Conversions,Status
Viral_Dance_Challenge_v1,TikTok,180000,8500,450.00,620,Active
Tech_Conference_B2B,LinkedIn,12000,150,1500.00,15,Active
Summer_Fashion_Haul,Instagram,45000,1200,850.50,110,Active
Search_Keywords_Generic,Google Ads,35000,980,700.00,65,Active
Retargeting_Feed_Ads,Facebook,32000,800,900.00,45,Active
Trending_Sound_Duet,TikTok,155000,7200,520.00,580,Active
Executive_Decision_Makers,LinkedIn,8500,90,1200.00,8,Active
Abandoned_Cart_Email,Email,18000,2200,150.00,120,Active
Influencer_Collab_Micro,Instagram,55000,1800,1100.00,180,Active
GenZ_Product_Launch,TikTok,210000,9800,600.00,850,Active
Competitor_Keywords_Bid,Google Ads,12000,400,800.00,30,Active
Lookalike_1_Percent,Facebook,28000,750,550.00,55,Active
Flash_Sale_Newsletter,Email,22000,2700,200.00,150,Active
Funny_Skit_Brand_Integrate,TikTok,195000,8900,580.00,740,Active
Professional_Services_Promo,LinkedIn,10000,120,1100.00,10,Active
Winter_Clearance_Search,Google Ads,50000,1600,750.00,110,Active
UGC_Compilation_Video,TikTok,140000,6500,480.00,510,Active
Story_Poll_Engagement,Instagram,30000,900,650.00,60,Active
Webinar_Signups_Csuite,LinkedIn,9000,85,950.00,5,Active
Brand_Awareness_Video,Facebook,40000,1100,950.00,40,Active
Holiday_Gift_Guide,Email,25000,3000,250.00,190,Active
Behind_The_Scenes_Vlog,TikTok,165000,7100,550.00,630,Active
Carousel_Product_Showcase,Instagram,38000,1100,720.00,95,Active
Display_Network_Banner,Google Ads,60000,800,500.00,20,Paused
Founder_Story_Video,LinkedIn,11000,130,980.00,12,Active
Loyalty_Program_Blast,Email,30000,3500,280.00,210,Active
Life_Hack_Tutorial,TikTok,175000,8200,590.00,690,Active
Local_Store_Visit_Ads,Facebook,15000,350,300.00,25,Active
Premium_Features_Demo,LinkedIn,10500,110,1300.00,9,Active
Spring_Collection_Reels,Instagram,48000,1400,780.00,135,Active
Youtube_Bumper_Ads,Google Ads,80000,1200,600.00,45,Active
Transition_Trend_Video,TikTok,200000,9500,620.00,780,Active
Referral_Bonus_Email,Email,16000,1900,180.00,110,Active
Lead_Gen_Form_Facebook,Facebook,25000,680,420.00,65,Active
Enterprise_Solutions_Whitepaper,LinkedIn,7500,70,1400.00,4,Active
Unboxing_ASMR_Video,TikTok,130000,5800,490.00,495,Active
Story_Swipe_Up_Link,Instagram,42000,1250,690.00,115,Active
Shopping_Ads_PLA,Google Ads,44000,1250,670.00,90,Active
Reactivation_Campaign,Email,15000,1700,140.00,95,Active
POV_Relatable_Content,TikTok,185000,8600,560.00,710,Active
Industry_Report_Download,LinkedIn,11500,140,1250.00,14,Active
Dynamic_Retargeting_Catalog,Facebook,33000,890,560.00,75,Active
Photo_Dump_Aesthetic,Instagram,36000,1050,640.00,88,Active
Challenge_Hashtag_Official,TikTok,220000,10500,650.00,920,Active
Cyber_Monday_Teaser,Email,28000,3100,260.00,185,Active
Search_Brand_Protection,Google Ads,20000,900,450.00,80,Active
Partner_Integrations_Post,LinkedIn,9800,100,1150.00,7,Active
Comment_Reply_Video,TikTok,150000,6900,510.00,560,Active
Reels_Trend_Audio,Instagram,44000,1300,710.00,125,Active
Community_Group_Post,Facebook,22000,600,380.00,50,Active
