Campaign_Name,Platform,Impressions,Clicks,Spend,Conversions,Status
Summer_Collection_FB_Feed,Facebook,95000,4500,600.00,420,Active
Insta_Story_Influencer,Instagram,110000,5200,750.00,550,Active
Google_Search_Generic,Google Ads,40000,800,1200.00,40,Active
YouTube_PreRoll_Brand,YouTube,60000,400,800.00,15,Paused
Retargeting_Catalog_Sales,Facebook,45000,2100,350.00,280,Active
Reels_Viral_Content,Instagram,150000,8500,500.00,610,Active
Competitor_Search_Bidding,Google Ads,15000,300,950.00,25,Active
TikTok_Dance_Challenge,TikTok,80000,1200,600.00,50,Active
LinkedIn_B2B_Promo,LinkedIn,5000,50,800.00,2,Active
Email_Newsletter_Weekly,Email,20000,2500,150.00,180,Active
FB_Lead_Gen_Form,Facebook,32000,1500,400.00,210,Active
Insta_Shop_Tag_Product,Instagram,98000,4100,550.00,390,Active
Display_Retargeting,Google Ads,120000,900,450.00,30,Active
Lookalike_Audience_1pct,Facebook,55000,2800,480.00,320,Active
Story_Carousel_Ad,Instagram,76000,3200,620.00,440,Active
